Date,Open,High,Low,Close,Adj Close,Volume
2019-11-27,61.650002,61.650002,61.650002,61.650002,61.065586,0
2019-11-29,61.310001,61.310001,61.310001,61.310001,60.728813,0
2019-12-02,60.560001,60.560001,60.560001,60.560001,59.985928,0
2019-12-03,60.360001,60.360001,60.360001,60.360001,59.787815,0
2019-12-04,60.720001,60.720001,60.720001,60.720001,60.144402,0
2019-12-05,60.779999,60.779999,60.779999,60.779999,60.203835,0
2019-12-06,61.259998,61.259998,61.259998,61.259998,60.679279,0
2019-12-09,60.990002,60.990002,60.990002,60.990002,60.411854,0
2019-12-10,60.849998,60.849998,60.849998,60.849998,60.273170,0
2019-12-11,60.900002,60.900002,60.900002,60.900002,60.322697,0
2019-12-12,61.189999,61.189999,61.189999,61.189999,60.609947,0
2019-12-13,61.209999,61.209999,61.209999,61.209999,60.629753,0
2019-12-16,61.770000,61.770000,61.770000,61.770000,61.184452,0
2019-12-17,61.540001,61.540001,61.540001,61.540001,60.956638,0
2019-12-18,61.639999,61.639999,61.639999,61.639999,61.055679,0
2019-12-19,61.980000,61.980000,61.980000,61.980000,61.392460,0
2019-12-20,62.400002,62.400002,62.400002,62.400002,61.808479,0
2019-12-23,62.230000,62.230000,62.230000,62.230000,61.795574,0
2019-12-24,62.380001,62.380001,62.380001,62.380001,61.944523,0
2019-12-26,62.549999,62.549999,62.549999,62.549999,62.113335,0
2019-12-27,62.520000,62.520000,62.520000,62.520000,62.083542,0
2019-12-30,62.160000,62.160000,62.160000,62.160000,61.726059,0
2019-12-31,62.430000,62.430000,62.430000,62.430000,61.994179,0
2020-01-02,62.939999,62.939999,62.939999,62.939999,62.500610,0
2020-01-03,62.830002,62.830002,62.830002,62.830002,62.391380,0
2020-01-06,63.029999,63.029999,63.029999,63.029999,62.589981,0
2020-01-07,63.070000,63.070000,63.070000,63.070000,62.629707,0
2020-01-08,63.290001,63.290001,63.290001,63.290001,62.848171,0
2020-01-09,63.770000,63.770000,63.770000,63.770000,63.324821,0
2020-01-10,63.730000,63.730000,63.730000,63.730000,63.285103,0
2020-01-13,64.180000,64.180000,64.180000,64.180000,63.731956,0
2020-01-14,64.180000,64.180000,64.180000,64.180000,63.731956,0
2020-01-15,64.370003,64.370003,64.370003,64.370003,63.920631,0
2020-01-16,65.029999,65.029999,65.029999,65.029999,64.576019,0
2020-01-17,65.110001,65.110001,65.110001,65.110001,64.655457,0
2020-01-21,65.059998,65.059998,65.059998,65.059998,64.605812,0
2020-01-22,65.150002,65.150002,65.150002,65.150002,64.695190,0
2020-01-23,65.360001,65.360001,65.360001,65.360001,64.903717,0
2020-01-24,64.790001,64.790001,64.790001,64.790001,64.337700,0
2020-01-27,63.810001,63.810001,63.810001,63.810001,63.364540,0
2020-01-28,64.459999,64.459999,64.459999,64.459999,64.009995,0
2020-01-29,64.169998,64.169998,64.169998,64.169998,63.722031,0
2020-01-30,64.360001,64.360001,64.360001,64.360001,63.910702,0
2020-01-31,63.200001,63.200001,63.200001,63.200001,62.758797,0
2020-02-03,63.820000,63.820000,63.820000,63.820000,63.374470,0
2020-02-04,64.879997,64.879997,64.879997,64.879997,64.427071,0
2020-02-05,65.029999,65.029999,65.029999,65.029999,64.576019,0
2020-02-06,65.239998,65.239998,65.239998,65.239998,64.784561,0
2020-02-07,64.730003,64.730003,64.730003,64.730003,64.278122,0
2020-02-10,65.230003,65.230003,65.230003,65.230003,64.774628,0
2020-02-11,65.519997,65.519997,65.519997,65.519997,65.062599,0
2020-02-12,66.070000,66.070000,66.070000,66.070000,65.608765,0
2020-02-13,66.279999,66.279999,66.279999,66.279999,65.817299,0
2020-02-14,66.639999,66.639999,66.639999,66.639999,66.174797,0
2020-02-18,66.669998,66.669998,66.669998,66.669998,66.204567,0
2020-02-19,67.040001,67.040001,67.040001,67.040001,66.571983,0
2020-02-20,66.930000,66.930000,66.930000,66.930000,66.462769,0
2020-02-21,66.059998,66.059998,66.059998,66.059998,65.598831,0
2020-02-24,64.080002,64.080002,64.080002,64.080002,63.632660,0
2020-02-25,62.099998,62.099998,62.099998,62.099998,61.666473,0
2020-02-26,61.459999,61.459999,61.459999,61.459999,61.030941,0
2020-02-27,59.119999,59.119999,59.119999,59.119999,58.707279,0
2020-02-28,58.770000,58.770000,58.770000,58.770000,58.359726,0
2020-03-02,60.849998,60.849998,60.849998,60.849998,60.425201,0
2020-03-03,59.540001,59.540001,59.540001,59.540001,59.124355,0
2020-03-04,61.869999,61.869999,61.869999,61.869999,61.438084,0
2020-03-05,60.080002,60.080002,60.080002,60.080002,59.660583,0
2020-03-06,58.680000,58.680000,58.680000,58.680000,58.270351,0
2020-03-09,53.840000,53.840000,53.840000,53.840000,53.547184,0
2020-03-10,56.299999,56.299999,56.299999,56.299999,55.993805,0
2020-03-11,53.470001,53.470001,53.470001,53.470001,53.179195,0
2020-03-12,48.689999,48.689999,48.689999,48.689999,48.425190,0
2020-03-13,52.029999,52.029999,52.029999,52.029999,51.747028,0
2020-03-16,45.270000,45.270000,45.270000,45.270000,45.023792,0
